SLV: iShares Silver Trust
Inception Date: 2006-04-28
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	15347200
Shares Outstanding: 605650000
Expense Ratio: 0.5%
Tracks This Index: Silver Bullion
ETFdb.com Category: Precious Metals
Issuer: iShares
Structure: Grantor Trust
ETF Home Page: https://etfdb.com/etf/SLV


Holding,Symbol,Weighting
Silver,SILV,100.0%
