TAGS: Teucrium Agricultural Fund
Inception Date: 2012-03-28
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	1593
Shares Outstanding: 75000
Expense Ratio: 1.0%
Tracks This Index: Agricultural Commodity Futures
ETFdb.com Category: Agricultural Commodities
Issuer: Teucrium
Structure: Commodity Pool
ETF Home Page: https://etfdb.com/etf/TAGS


Holding,Symbol,Weighting
Teucrium Sugar,CANE,25.339%
Teucrium Corn Fund,CORN,25.0007%
Teucrium Soybean,SOYB,24.9826%
Teucrium Wheat,WEAT,24.4796%
Cash Component,CASH,0.1981%
