IAU: iShares Gold Trust
Inception Date: 2005-01-28
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	31921200
Shares Outstanding: 1770450000
Expense Ratio: 0.25%
Tracks This Index: Gold Bullion
ETFdb.com Category: Precious Metals
Issuer: iShares
Structure: Grantor Trust
ETF Home Page: https://etfdb.com/etf/IAU


Holding,Symbol,Weighting
Gold,GOLDS,100.0%
