BAR: GraniteShares Gold Trust
Inception Date: 2017-08-31
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	1109770
Shares Outstanding: 59150000
Expense Ratio: 0.1749%
Tracks This Index: Gold Bullion
ETFdb.com Category: Precious Metals
Issuer: GraniteShares
Structure: Grantor Trust
ETF Home Page: https://etfdb.com/etf/BAR


Holding,Symbol,Weighting
Gold,GOLDS,100.0%
