FFTI: FormulaFolios Income ETF
Inception Date: 2017-06-06
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	221858
Shares Outstanding: 9100000
Expense Ratio: 1.04%
Tracks This Index: n/a
ETFdb.com Category: Total Bond Market
Issuer: FormulaFolio Investments
Structure: ETF
ETF Home Page: https://etfdb.com/etf/FFTI


Holding,Symbol,Weighting
Xtrackers USD High Yield Corporate Bond ETF,HYLB,18.65%
SPDR Bloomberg Barclays High Yield Bond ETF,JNK,18.64%
iShares iBoxx $ High Yield Corporate Bond ETF,HYG,18.64%
Vanguard Intermediate-Term Corporate Bond ETF,VCIT,10.71%
iShares Core U.S. Aggregate Bond ETF,AGG,10.65%
Vanguard Total Bond Market ETF,BND,10.64%
iShares iBoxx $ Investment Grade Corporate Bond ETF,LQD,10.62%
U.S. Dollar,Other,1.45%
