YCS: ProShares UltraShort Yen
Inception Date: 2008-11-24
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	23649
Shares Outstanding: 349000
Expense Ratio: 0.95%
Tracks This Index: Japanese Yen (-200%)
ETFdb.com Category: Leveraged Currency
Issuer: ProShares
Structure: Commodity Pool
ETF Home Page: https://etfdb.com/etf/YCS


Holding,Symbol,Weighting
Japanese yen,JPY,100.0%
