SOYB: Teucrium Soybean
Inception Date: 2011-09-19
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	89532
Shares Outstanding: 4575000
Expense Ratio: 1.15%
Tracks This Index: Soybean Futures
ETFdb.com Category: Agricultural Commodities
Issuer: Teucrium
Structure: Commodity Pool
ETF Home Page: https://etfdb.com/etf/SOYB


Holding,Symbol,Weighting
Soybean,S,100.0%
