CORN: Teucrium Corn Fund
Inception Date: 2010-06-09
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	138306
Shares Outstanding: 8900000
Expense Ratio: 1.11%
Tracks This Index: Corn Futures
ETFdb.com Category: Agricultural Commodities
Issuer: Teucrium
Structure: Commodity Pool
ETF Home Page: https://etfdb.com/etf/CORN


Holding,Symbol,Weighting
Corn,C,100.0%
