WEAT: Teucrium Wheat
Inception Date: 2011-09-19
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	70029
Shares Outstanding: 11350000
Expense Ratio: 1.0%
Tracks This Index: Wheat Futures
ETFdb.com Category: Agricultural Commodities
Issuer: Teucrium
Structure: Commodity Pool
ETF Home Page: https://etfdb.com/etf/WEAT


Holding,Symbol,Weighting
Wheat,W,100.0%
