TWM: ProShares Ultra Short Russell 2000
Inception Date: 2007-01-23
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	81799
Shares Outstanding: 15859000
Expense Ratio: 0.95%
Tracks This Index: Russell 2000 Index (-200%)
ETFdb.com Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TWM


Holding,Symbol,Weighting
U.S. Dollar,Other,57.13%
United States Treasury Bills 0.0% 04-MAR-2021,Other,18.07%
United States Treasury Bills 0.0% 15-JUL-2021,Other,18.06%
United States Treasury Bills 0.0% 15-APR-2021,Other,7.23%
United States Treasury Bills 0.0% 26-JAN-2021,Other,7.23%
SHORT POSITIONS,Other,-7.71%
