GRU: MLCX Grains ETN
Inception Date: 2008-02-14
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	3572
Shares Outstanding: 976000
Expense Ratio: 0.75%
Tracks This Index: MLCX Grains Index-Total Return
ETFdb.com Category: Agricultural Commodities
Issuer: Swedish Export Credit Corporation
Structure: ETN
ETF Home Page: https://etfdb.com/etf/GRU


Holding,Symbol,Weighting
Wheat,W,45.611%
Corn,C,26.4738%
Soybean,S,18.9971%
Soybean Oil,BO,8.918%
