FUE: MLCX Biofuels ETN
Inception Date: 2008-02-05
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	432
Shares Outstanding: 60000
Expense Ratio: 0.75%
Tracks This Index: MLCX Biofuels Index-Total Return
ETFdb.com Category: Agricultural Commodities
Issuer: Swedish Export Credit Corporation
Structure: ETN
ETF Home Page: https://etfdb.com/etf/FUE


Holding,Symbol,Weighting
Soybean,S,32.73%
Corn,C,21.06%
Soybean Oil,BO,19.45%
Sugar,FSB,15.71%
Canola,RS,7.21%
