HEEM: iShares Currency Hedged MSCI Emerging Markets ETF
Inception Date: 2014-09-23
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	195361
Shares Outstanding: 6350000
Expense Ratio: 0.68%
Tracks This Index: MSCI Emerging Markets 100% USD Hedged Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/HEEM


Holding,Symbol,Weighting
iShares MSCI Emerging Markets ETF,EEM,94.5%
SHORT POSITIONS,Other,5.48%
U.S. Dollar,Other,0.03%
