GLL: ProShares UltraShort Gold
Inception Date: 2008-12-01
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	20374
Shares Outstanding: 646000
Expense Ratio: 0.95%
Tracks This Index: Gold bullion (-200%)
ETFdb.com Category: Leveraged Commodities
Issuer: ProShares
Structure: Commodity Pool
ETF Home Page: https://etfdb.com/etf/GLL


Holding,Symbol,Weighting
Gold,GC,100.0%
