YCL: ProShares Ultra Yen
Inception Date: 2008-11-24
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	2994
Shares Outstanding: 49000
Expense Ratio: 1.01%
Tracks This Index: Japanese Yen (200%)
ETFdb.com Category: Leveraged Currency
Issuer: ProShares
Structure: Commodity Pool
ETF Home Page: https://etfdb.com/etf/YCL


Holding,Symbol,Weighting
Japanese yen,JPY,100.0%
