RWVG: Direxion Russell 1000® Value Over Growth ETF
Inception Date: 2019-01-16
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	35624
Shares Outstanding: 725000
Expense Ratio: 0.46%
Tracks This Index: Russell 1000 Value/Growth 150/50 Net Spread Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/RWVG


Holding,Symbol,Weighting
iShares Russell 1000 Value ETF,IWD,96.75%
U.S. Dollar,Other,1.52%
Goldman Sachs Trust Financial Square Treasury Instruments Fund Institutional,FTIXX,1.26%
CORPORATE BOND,Other,0.47%
