GLD: SPDR Gold Trust
Inception Date: 2004-11-18
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	72204100
Shares Outstanding: 407100000
Expense Ratio: 0.4%
Tracks This Index: Gold Bullion
ETFdb.com Category: Precious Metals
Issuer: State Street SPDR
Structure: Grantor Trust
ETF Home Page: https://etfdb.com/etf/GLD


Holding,Symbol,Weighting
Gold,GOLDS,100.0%
