RJN: RICI-Energy ETN
Inception Date: 2007-10-17
Fund Holdings as of: 2020-09-25
Total Assets Under Management (in thousands):	2567
Shares Outstanding: 1595000
Expense Ratio: 0.75%
Tracks This Index: Rogers International Commodity Index - Energy Total Return
ETFdb.com Category: Oil & Gas
Issuer: Swedish Export Credit Corporation
Structure: ETN
ETF Home Page: https://etfdb.com/etf/RJN


Holding,Symbol,Weighting
Sweet Light Crude Oil (WTI),CL,47.73%
Brent Crude Oil,CO,31.82%
Gasoline RBOB,XB,6.82%
Natural Gas,NG,6.82%
NY Harbor ULSD (Heating Oil),HO,4.09%
Gas Oil,QS,2.73%
